sim_type,sim_name,As,bary_Mc,bary_nu,H0,O_cdm,O_nu,Ob,Om,ns,s8,w0
grid,cosmo_000079,2.6167169525194755e-08,1810558243027.1218,-1.46875,75.109375,0.0804964678015,0.001144157198500001,0.052734375,0.134375,0.8746875,0.9859375,-0.6585859375
grid,cosmo_000082,8.230999815403693e-10,3459891660869.9326,-1.34375,80.171875,0.403448902484,0.0010042225160000195,0.042421875,0.446875,1.0184375,0.7671875,-0.7106796875
grid,cosmo_000084,1.5393457504812067e-09,259455272140401.53,1.15625,73.421875,0.26450576949,0.0011973555100000116,0.031171875,0.296875,0.9934375,0.8921875,-1.3358046875
grid,cosmo_000087,7.454173434224385e-09,46138396827332.14,-1.84375,68.921875,0.156844311417,0.001358813582999989,0.038671875,0.196875,1.0434375,1.1421875,-0.9190546875
grid,cosmo_000090,5.470423556512484e-10,5327978945865.641,1.40625,70.046875,0.433762608002,0.001315516997999984,0.036796875,0.471875,0.9059375,0.4546875,-0.3981171875
grid,cosmo_000091,2.2848577625514153e-09,168485487943583.88,-0.59375,79.046875,0.219045114691,0.0010330103089999862,0.051796875,0.271875,1.0059375,0.9546875,-1.2316171875
grid,cosmo_000095,1.5658226916485718e-08,71049741144267.88,1.90625,81.296875,0.0878515033264,0.0009766216735999922,0.033046875,0.121875,0.9309375,1.3296875,-1.0232421875
grid,cosmo_000097,5.525944660983762e-09,79147554394111.61,0.46875,79.328125,0.271708676784,0.0010256982159999734,0.042890625,0.315625,0.8715625,1.0328125,-0.3720703125
grid,cosmo_000098,1.1144881526991482e-09,445079406235599.56,-0.53125,65.828125,0.378744838916,0.001489536083999994,0.035390625,0.415625,0.9215625,0.7828125,-1.6223203125
grid,cosmo_000099,9.230174286382263e-09,14074646633398.434,1.46875,74.828125,0.164081600658,0.001152774342,0.050390625,0.215625,1.0215625,1.2828125,-0.7888203125
grid,cosmo_000100,1.3336281162144327e-09,1055449600878.603,0.96875,72.578125,0.225259018185,0.0012253568150000088,0.039140625,0.265625,0.9465625,0.6578125,-0.9971953125
grid,cosmo_000102,5.394212103596542e-10,187688429357621.88,1.96875,68.078125,0.317591670985,0.0013927040149999612,0.046640625,0.365625,0.9965625,0.4078125,-0.5804453125
